"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YBL024W",101.997283368112,-0.173643922665613,0.177633928868933,-0.977538040008878,0.328302854841486,0.514392831011681
"YBL025W",13.8995945535798,0.728237752440508,0.505870840516612,1.43957250371816,0.149988383518165,0.297688625261466
"YBL026W",49.3280567961488,0.681013705666117,0.286464540563992,2.37730542260252,0.0174396412604652,0.0571756611859089
"YBL027W",2011.8993148844,-0.435655189854738,0.0410753127281174,-10.6062537548623,2.78700581676548e-26,1.00000000000001e-10
"YBL028C",17.4634846083183,0.0865923538758705,0.432168251384496,0.200367226418097,0.841193389259159,0.907849773564992
"YBL029C-A",32.8748902006319,0.215126183599319,0.329465938270381,0.65295424689023,0.513785775230451,0.68379466295686
"YBL029W",45.2868857743663,0.31550817948289,0.275381350074848,1.14571367813084,0.251913642382818,0.430206247645944
"YBL030C",560.312475346421,-0.0352542236041006,0.0786356643537341,-0.448323593293665,0.653919675700798,0.788422717926983
"YBL031W",28.0537353343295,0.69319275539536,0.355415134989536,1.95037489164824,0.0511314522577187,0.132079825698386
"YBL032W",191.908189039781,0.00741540917031299,0.131437209204139,0.0564178836055161,0.955008910587993,0.973164460975541
"YBL033C",209.383272115601,-0.323445175253472,0.126468272791847,-2.55752030223285,0.0105421404028094,0.0378403118322994
"YBL034C",30.124202062277,0.309918945875864,0.341819230493741,0.90667498557118,0.364578695200215,0.55043086013588
"YBL035C",27.829715546307,-0.111196297172636,0.338270352073031,-0.32872019818228,0.7423671860715,0.849017407242953
"YBL036C",64.2042062756806,0.220482238684442,0.231490487542648,0.952446215068868,0.340870730818925,0.526071888963196
"YBL037W",75.609827398282,-0.445281290896042,0.212396422508082,-2.09646323435178,0.036041118055825,0.100961681529109
"YBL038W",74.9456442303471,0.239721260949308,0.219646158207806,1.09139746811556,0.275098026021842,0.456124013254122
"YBL039C",79.0705706166352,-0.748712045330004,0.20629111567418,-3.62939549230289,0.000284085713619889,0.00163799533425619
"YBL039W-B",11.5975498586351,1.86868412345457,0.625440858841014,2.98778708976156,0.00281005237321351,0.0123602850707886
"YBL040C",120.663135515943,0.606385915111276,0.168740185696774,3.59360701546785,0.000326131610822592,0.00185388735144012
"YBL041W",462.53379192789,0.0689047012604458,0.086854358527162,0.793336136826078,0.427582008013225,0.610527452291997
"YBL042C",75.4224957687424,0.0438610722284968,0.206979952686279,0.211909760627771,0.832177435644514,0.903648865803719
"YBL043W",14.4117233793772,0.922582819060161,0.530195363013767,1.74008088983646,0.081844815337564,0.190083572459359
"YBL044W",9.77490261359756,3.13825390202796,0.854071511028457,3.67446269018965,0.000238350468565289,0.00139715009193312
"YBL045C",284.558644309463,-0.212381016572329,0.108877003366195,-1.95065082621728,0.0510985966571767,0.132055447648038
"YBL046W",122.132206615586,0.0945170039507641,0.166308339018049,0.568323900706544,0.56981505281829,0.727129912487947
"YBL047C",608.201045301064,-0.398583419432231,0.0752375055824064,-5.29766924550242,1.17290175340396e-07,1.1173285451765e-06
"YBL049W",13.2546756329995,0.968182996238199,0.524800590302714,1.844858817098,0.0650580787847431,0.160201967902256
"YBL050W",173.301360554934,0.483332168680386,0.141649286228939,3.41217510901682,0.000644466993285428,0.00342844290673257
"YBL051C",174.578132038902,-0.294111667357964,0.143574603749097,-2.04849367282209,0.0405116514325768,0.110253476175435
"YBL052C",80.6282845303163,0.57604325220995,0.217589443675881,2.64738602424122,0.00811166984140922,0.0304741548206573
"YBL054W",19.9466412559505,-0.811784880166363,0.397994143560707,-2.03969051630665,0.0413811600943733,0.111938165160495
"YBL055C",92.3066542644129,-0.468655284684675,0.186079388710413,-2.51857708654677,0.0117830087920568,0.0415537127819315
"YBL056W",385.496566066295,-0.320310324943452,0.0909851105705097,-3.52046970031679,0.000430783207671214,0.00237457146662559
"YBL057C",117.21580581125,-0.131893867584246,0.167517621887517,-0.7873432424489,0.431080962375032,0.6129262600175
"YBL058W",335.319740908562,-0.228278804855028,0.0985066154881954,-2.31739567666279,0.0204821876423658,0.0648871102771353
"YBL059C-A",24.0306210493192,0.436197935738572,0.372720992614849,1.1703068632609,0.241877500921924,0.417655343802845
"YBL059W",17.7388223510088,0.291365911788989,0.444354031179825,0.655706691836169,0.512012862378137,0.682401449154672
"YBL060W",44.6014136288776,0.810373249888363,0.286196713338472,2.83152535343749,0.00463265607008793,0.0189027118071099
"YBL061C",137.94389199025,-0.0955990817459577,0.155916780385973,-0.613141712580912,0.539782641272466,0.704754414116077
"YBL063W",36.2571813501035,0.187784510081684,0.302151022722295,0.621492220644494,0.534275811418813,0.700321083454413
"YBL064C",164.269866467396,0.119882262491696,0.142108898204388,0.843594342131027,0.398896126999328,0.583798406575268
"YBL066C",51.1806556414358,0.331351157279687,0.258977331282696,1.27946008107555,0.200735088240634,0.364047994144416
"YBL067C",103.823660567429,0.42246276560884,0.180070634773097,2.34609472078096,0.01897128554661,0.0611691316803975
"YBL068W",51.4732219650401,-0.416101054874679,0.252064264872287,-1.6507736829951,0.0987847957774166,0.218022490663152
"YBL069W",55.7545810939075,-0.447686863720649,0.245725379235071,-1.82189916692477,0.0684702867538282,0.166901398167598
"YBL071C-B",0,NA,NA,NA,NA,NA
"YBL071W-A",11.3626452152976,-0.154689717291695,0.532788241262817,-0.290339961191803,0.771556170208675,0.866176636334664
"YBL072C",2332.42094684452,-0.315166909140333,0.0409169549467244,-7.70259931489754,1.33325921031098e-14,1.00200486631652e-10
"YBL074C",10.5753740347105,-0.37505625194761,0.559327518175953,-0.670548542240014,0.502508172890513,0.674998472451025
"YBL075C",53.8892532580688,0.110177759585053,0.245194533283627,0.449348352549142,0.65318038239451,0.787868273110191
"YBL076C",742.44278422181,-0.477767978182574,0.066407880846331,-7.19444698571451,6.27144280670181e-13,1.08841166496748e-10
"YBL078C",60.5282211020536,0.540071852720485,0.239414378570811,2.25580374889952,0.024082924463717,0.0738464443908648
"YBL079W",91.8517730941913,-0.073699858760162,0.185736978600373,-0.396796907732265,0.69151723121588,0.815502218249182
"YBL080C",45.6987810256812,0.148037215940635,0.266006551521939,0.556517180098197,0.577857353177753,0.733317940847165
"YBL081W",73.3138279459314,-0.271413747205064,0.222155697184941,-1.22172760205702,0.221810654605546,0.392589542259659
"YBL082C",157.725543862363,-0.188457348161457,0.144789062293195,-1.30159934166736,0.19305338499579,0.356576494692617
"YBL084C",71.5351804676712,1.06197313983265,0.230733478498719,4.60259667016004,4.17255785188618e-06,3.30930025693195e-05
"YBL085W",225.137738182203,0.810462779757104,0.127713804956678,6.34592932245675,2.21086724318092e-10,2.78687077247785e-09
"YBL086C",142.641348922551,0.12315094996024,0.154062558825266,0.799356773633202,0.424083567533107,0.607796518412698
"YBL087C",943.872921937398,-0.731906634290686,0.0608955551307489,-12.0190485614132,2.82202082867276e-33,1e-10
"YBL088C",75.6704779446155,0.0923569845676716,0.213872567291763,0.431831841442662,0.665863635317107,0.79736781482779
"YBL089W",52.1678264060337,-0.0092507820343266,0.253647323684156,-0.0364710413654738,0.970906768984168,0.982695984417955
"YBL090W",34.1919212335361,0.280643678062263,0.31838813538134,0.881451432623675,0.378073530148321,0.563021995863929
"YBL091C",475.25244838306,-0.107269313589183,0.0832390847623691,-1.28868924851126,0.19750614174974,0.361009284082346
"YBL091C-A",73.5627289967546,0.0913751401436522,0.231393189000008,0.394891226222086,0.69292316535533,0.816392626641276
"YBL092W",2209.05237082301,-0.376295268364007,0.0432357163478916,-8.7033429800535,3.22248142998511e-18,1.00000057323573e-10
"YBL093C",112.83084953346,-0.391594480082298,0.169398451464683,-2.31167685829726,0.0207954976066001,0.0656216067052704
"YBL095W",55.0100697686411,0.538251107029331,0.248668666873287,2.16453127688824,0.0304235988615045,0.089121389180532
